46 [[51.52082778018318, -0.11786282355946062], [51.520572590251994, -0.11770840574614032]]
47 [[51.523583315867796, -0.1267139430296137], [51.523685329036205, -0.12682698162800146]]
48 [[51.53627158277005, -0.13841502157878108], [51.5363985467179, -0.13803447489331894]]
49 [[51.541956788542066, -0.13856642106712], [51.54211988886158, -0.13871541694010775]]
50 [[51.51971137961102, -0.12099509560626087], [51.52000244696001, -0.1212710518394931]]
51 [[51.542230891259884, -0.14513093230906612], [51.54235574386323, -0.144963440623111]]
52 [[51.540164317798514, -0.15938097126326203], [51.54016670248059, -0.159024399683818]]
53 [[51.52041918514184, -0.11151098388875526], [51.52039220564576, -0.11165022587967567]]
54 [[51.52266990523934, -0.12602922610145667], [51.52252647847065, -0.1263744171533605]]
55 [[51.532745950717036, -0.1354820894028394], [51.53257392023573, -0.13592140723024645]]
56 [[51.552986242420765, -0.15799904866185704], [51.5525285689426, -0.15775703701953522]]
57 [[51.51787479072521, -0.12170665859882336], [51.517981637091125, -0.12182257844742383]]
58 [[51.5181590311874, -0.12201503699860645], [51.51828850925545, -0.12215551045240185]]
59 [[51.52182449701565, -0.12220477562607882], [51.52147143994854, -0.12189009480165597]]
60 [[51.561580089963, -0.15049286666860165], [51.56170867754156, -0.15034615357373451]]
61 [[51.553827620529525, -0.15533592792183684], [51.554049956615344, -0.15448957514898062]]
62 [[51.543894086740025, -0.13861824675521395], [51.54372292798696, -0.13887198251225127]]
63 [[51.55461557752999, -0.16576964162972188], [51.55479404083264, -0.1658996463218222]]
64 [[51.541098176208436, -0.15713869863104268], [51.540967506508025, -0.1565538567248203]]
65 [[51.54447816600219, -0.13771994567325108], [51.54433237015476, -0.13796272181499716]]
66 [[51.540135810548655, -0.1594513006459229], [51.5402410404885, -0.15987649008143953]]
67 [[51.519834607762895, -0.13159368250079598], [51.52004984607336, -0.1310993936525549]]
68 [[51.518784970020036, -0.11680487807922574], [51.5186700933539, -0.11675390335502767]]
69 [[51.54100083142523, -0.1433629252733761], [51.54096808869359, -0.1435495699218423]]
70 [[51.521749008132424, -0.10842984974721445], [51.52171987939234, -0.10851095078392885]]
71 [[51.51972019870009, -0.13704222884938122], [51.51968124645249, -0.13700140322275575]]
72 [[51.523519382609514, -0.11648156273024056], [51.5233826095504, -0.1163692775997962]]
73 [[51.5341859487343, -0.14019005245034658], [51.53412193538798, -0.1402479677620451]]
74 [[51.51956064204943, -0.11832760911217124], [51.519478424333734, -0.11824636363216502]]
75 [[51.55341881185167, -0.15692853564328546], [51.55332021493542, -0.15736547480102184]]
76 [[51.52079598769665, -0.13283185153922433], [51.52099628797248, -0.13237309463627897]]
77 [[51.546485643080715, -0.16411264092291455], [51.54664528852878, -0.16431187360505892]]
78 [[51.531744841488475, -0.141506414571841], [51.53166507819741, -0.1413613356691367]]
79 [[51.52269430487491, -0.11576758150899458], [51.52263318231085, -0.11571639740133378]]
